benchmark_name,benchmark_cmd,target_cpu,runs,counter_value,counter_value_unit,event_name,variance_between_runs,run_time_of_counter,percentage_of_time_counter_was_running,metric_value,unit_of_metric
miniBUDE_openmp,./bude,4,10,32128244889,,cycles,0.00%,10780068042,100.00,,
miniBUDE_openmp,./bude,4,10,147844693540,,instructions,0.00%,10780067958,100.00,4.60,insn per cycle
miniBUDE_openmp,./bude,5,10,32127943844,,cycles,0.01%,10777580583,100.00,,
miniBUDE_openmp,./bude,5,10,147844693612,,instructions,0.00%,10777580167,100.00,4.60,insn per cycle
miniBUDE_openmp,./bude,6,10,32149909534,,cycles,0.01%,10784440667,100.00,,
miniBUDE_openmp,./bude,6,10,147844693625,,instructions,0.00%,10784440459,100.00,4.60,insn per cycle
miniBUDE_openmp,./bude,7,10,32130553094,,cycles,0.01%,10779224125,100.00,,
miniBUDE_openmp,./bude,7,10,147844693975,,instructions,0.00%,10779223875,100.00,4.60,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,0,10,23705192798,,cycles,0.02%,11585399540,100.00,,
tealeaf_2d_serial,./tealeaf.serial,0,10,55320603578,,instructions,0.00%,11585399414,100.00,2.33,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,1,10,23711822909,,cycles,0.01%,11575006331,100.00,,
tealeaf_2d_serial,./tealeaf.serial,1,10,55320603928,,instructions,0.00%,11575006081,100.00,2.33,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,2,10,23707996251,,cycles,0.01%,11576667290,100.00,,
tealeaf_2d_serial,./tealeaf.serial,2,10,55320603452,,instructions,0.00%,11576682831,100.00,2.33,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,3,10,23701107696,,cycles,0.01%,11580754539,100.00,,
tealeaf_2d_serial,./tealeaf.serial,3,10,55320603435,,instructions,0.00%,11580754997,100.00,2.33,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,4,10,15824677037,,cycles,0.05%,5326816771,100.00,,
tealeaf_2d_serial,./tealeaf.serial,4,10,55320590688,,instructions,0.00%,5326817021,100.00,3.50,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,5,10,15795842814,,cycles,0.03%,5312351813,100.00,,
tealeaf_2d_serial,./tealeaf.serial,5,10,55320590878,,instructions,0.00%,5312351522,100.00,3.50,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,6,10,15759945822,,cycles,0.07%,5303655396,100.00,,
tealeaf_2d_serial,./tealeaf.serial,6,10,55320591389,,instructions,0.00%,5303655146,100.00,3.50,insn per cycle
tealeaf_2d_serial,./tealeaf.serial,7,10,15799748026,,cycles,0.03%,5322334146,100.00,,
tealeaf_2d_serial,./tealeaf.serial,7,10,55320591005,,instructions,0.00%,5322334229,100.00,3.50,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,0,10,23767476666,,cycles,0.02%,11643074998,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,0,10,54850777201,,instructions,0.00%,11643074497,100.00,2.31,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,1,10,23743567938,,cycles,0.02%,11631644622,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,1,10,54850777407,,instructions,0.00%,11631644747,100.00,2.31,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,2,10,23768877974,,cycles,0.03%,11634897789,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,2,10,54850777789,,instructions,0.00%,11634898081,100.00,2.31,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,3,10,23746689285,,cycles,0.02%,11614629330,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,3,10,54850777127,,instructions,0.00%,11614629997,100.00,2.31,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,4,10,15867050286,,cycles,0.09%,5351509480,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,4,10,54850764448,,instructions,0.00%,5351509688,100.00,3.45,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,5,10,15888114764,,cycles,0.06%,5359707520,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,5,10,54850764389,,instructions,0.00%,5359707146,100.00,3.45,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,6,10,15839961229,,cycles,0.07%,5341857688,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,6,10,54850764338,,instructions,0.00%,5341857730,100.00,3.47,insn per cycle
tealeaf_2d_omp3,./tealeaf.omp3,7,10,15810513574,,cycles,0.05%,5334101396,100.00,,
tealeaf_2d_omp3,./tealeaf.omp3,7,10,54850764580,,instructions,0.00%,5334101396,100.00,3.47,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,0,10,23024865590,,cycles,0.09%,11265278540,100.00,,
tealeaf_3d_serial,./tealeaf_serial,0,10,40065086593,,instructions,0.00%,11265278249,100.00,1.74,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,1,10,23182693825,,cycles,0.10%,11336074874,100.00,,
tealeaf_3d_serial,./tealeaf_serial,1,10,40065086633,,instructions,0.00%,11336074416,100.00,1.73,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,2,10,23085569187,,cycles,0.07%,11285694415,100.00,,
tealeaf_3d_serial,./tealeaf_serial,2,10,40065086611,,instructions,0.00%,11285694623,100.00,1.73,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,3,10,23202590203,,cycles,0.12%,11349092832,100.00,,
tealeaf_3d_serial,./tealeaf_serial,3,10,40065086822,,instructions,0.00%,11349092416,100.00,1.73,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,4,10,10613834655,,cycles,0.36%,3594603653,100.00,,
tealeaf_3d_serial,./tealeaf_serial,4,10,40065076381,,instructions,0.00%,3594603278,100.00,3.76,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,5,10,10614090103,,cycles,0.51%,3592748986,100.00,,
tealeaf_3d_serial,./tealeaf_serial,5,10,40065076894,,instructions,0.00%,3592748903,100.00,3.75,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,6,10,10695056219,,cycles,0.31%,3617723694,100.00,,
tealeaf_3d_serial,./tealeaf_serial,6,10,40065076098,,instructions,0.00%,3617722695,100.00,3.75,insn per cycle
tealeaf_3d_serial,./tealeaf_serial,7,10,10698483321,,cycles,0.58%,3634228819,100.00,,
tealeaf_3d_serial,./tealeaf_serial,7,10,40065076714,,instructions,0.00%,3634228819,100.00,3.75,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,0,10,23068957336,,cycles,0.48%,11278217998,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,0,10,40065087009,,instructions,0.00%,11278217832,100.00,1.73,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,1,10,23242761280,,cycles,0.10%,11366964457,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,1,10,40065087226,,instructions,0.00%,11366964457,100.00,1.73,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,2,10,23139708720,,cycles,0.10%,11313806623,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,2,10,40065087121,,instructions,0.00%,11313806581,100.00,1.73,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,3,10,23130479053,,cycles,0.61%,11312255665,100.00,,
